FILENAME,WORD_COUNT,CATEGORY
230202 Mentor - D1237 tp2.md,256,Valid
221208 Scott Edwards Arch - 1608 glitch.md,255,Valid
220218 Park Academy - HDMI jacks+.md,255,Valid
231102 Synopsys vtc audio4.md,254,Valid
230705 DLR - Atrium Mic levels & Restart.md,252,Valid
230906 DLR - Atrium labels3.md,252,Valid
220404 TillamookPUD - Video wall config.md,251,Valid
230531 Abcam Eug - Cafe cam img flip v2.md,251,Valid
230911 UofO Ford Ballroom screen Mid2.md,250,Valid
231018 WWalker Elem - Gym pwr amp1 PRE01.md,250,Valid
231018 WWalker Elem - Gym pwr amp1.md,250,Valid
220321 Twality Mid School - HDMI3.md,250,Valid
211111 Twality Mid School - HDMI.md,248,Valid
230216 Pacific Crest school - Box repair.md,248,Valid
240408 Synopsys Mult Conf Podium HDMI Audio2.md,247,Valid
"220407 UofO Ford Alumni ballroom, screen1.md",247,Valid
220323 UofO Mariota Center - TV Tuners.md,247,Valid
221212 ColumBank Fox - Community rm2.md,244,Valid
220621 Vanc CityCounChambers - Ph Audio.md,244,Valid
221219 Pacific Crest school - Projector Assessment.md,244,Valid
211123 UofO Knight - Crestron2.md,243,Valid
230331 MVHS Band rm mixer1.md,239,Valid
220127 Pacific Crest school - Projector 2.md,238,Valid
231002 Synopsys vtc audio1.md,237,Valid
230622a iQ CU Vanc - iPad ctrl GUI.md,237,Valid
220721 Salem Library - PA Vocia settings2.md,236,Valid
230214 Abcam Eug2 - Cafe tp.md,235,Valid
230313 Jesuit HS Hollman Cafe1.md,235,Valid
LincolnHS - BCast 240425.md,234,Valid
230118 Abcam Eug3 - Mito cam.md,233,Valid
220104 Columbia Spo - Newton Ridge.md,233,Valid
231130 UofO Ford Ballroom HDMI.md,232,Valid
221014 CMHosp Astoria iPads.md,230,Valid
230427 UofO Knight - rm108+.md,229,Valid
LincolnHS - 137 Proj Lift 240308.md,229,Valid
231114 Synopsys Mult Conf Podium HDMI.md,228,Valid
220301 DLR - conf rm audio 2.md,228,Valid
221103 UofO Mariota Center - TV Tuners3.md,228,Valid
220524 Garmin Siletz - Mon&Aud.md,228,Valid
230418 Abcam Eug1 - Cafe mics & Proj.md,227,Valid
230117 UofO Ford 403 Zoom audio.md,227,Valid
230927 WSU Vanc UCB1 Projector & audio PRE03.md,226,Valid
231107 PPS Roos Gym lift2.md,224,Valid
230103 Mentor - A103A Big Muddy3.md,224,Valid
220808 Mentor - E2042 Noble.md,222,Valid
221108 Clackamas ESD - SpringEra TPanel2.md,221,Valid
"240314 Longview, Port of - Cams.md",220,Valid
230118 Abcam Eug2 - Cafe Proj.md,220,Valid
230223-4 UofO Knight - rm108 HDMI.md,220,Valid
220422 AHS - 508 Zoom TPanel.md,219,Valid
220512 Salem Library - Auditorium6.md,217,Valid
220207 Pape Group - Phone ext change.md,217,Valid
230405 DLR - conf rm audio 11.md,216,Valid
220224 UofO Knight - 3rd FL TX2.md,214,Valid
230404 Jesuit HS Hollman Cafe5.md,214,Valid
230209 Stoller Vinyards - VidWall split bad.md,213,Valid
"240326 Longview, Port of - Cams2.md",213,Valid
211227 Sato Elem - Prjctr 2.md,213,Valid
230511 Selco CU Eug McKenzie cam.md,211,Valid
221004 MealsOnWheels - PC audio.md,211,Valid
221011 ThermoFisher - Barco.md,210,Valid
220427 Salem Library - Auditorium2.md,210,Valid
211018 WWalker Elem - 1608.md,210,Valid
221220 Mentor - D2040-2 & D1237.md,210,Valid
221102 Standard Ins - Mega TP.md,209,Valid
221018 Salem Library - Install Blue-ray player.md,209,Valid
220628 Salem Library - PA Vocia settings.md,209,Valid
230620 JesuitHS Cafe glue IR ems.md,209,Valid
220801 Clackamas ESD - HDMI Spring.md,208,Valid
231020 HillsbLib - Brookwood1 BoardRm2.md,207,Valid
220719 Oregon Justice Ctr - mult speaker issues2.md,205,Valid
"240419 Longview, Port of - Disp4.md",204,Valid
230912 Abcam Eug - HDMI Gene.md,204,Valid
230330 Jesuit HS Hollman Cafe3.md,204,Valid
230404 Jesuit HS Hollman Cafe4.md,204,Valid
220808 Mentor - E2022 Sequoia.md,204,Valid
211224 Hilton Duniway - spkrs+.md,203,Valid
240410 OSU Gymnast - Bluetooth1.md,203,Valid
230126 Hillsboro Lib2 - Brookwood audio.md,203,Valid
231009 Abcam Eug - HDMI Crouch1.md,203,Valid
220516 Astoria Middle school - screen.md,203,Valid
230927 WSU Vanc UCB1 Projector & audio.md,202,Valid
231024 Synopsys vtc audio3.md,201,Valid
211117 UofO Knight - Crestron1.md,201,Valid
230321 UofO Knight - rm156-8.md,201,Valid
231115 Gartner Cafe Mic missing2.md,200,Valid
220920 Mentor - A103A Big Muddy.md,200,Valid
230908 Bigfoot tp.md,199,Valid
230626 Sato Elem - post-projector ctl confirm.md,199,Valid
240110 Synopsys room state err.md,198,Valid
230925 Gartner Table 9-2 Barco.md,197,Valid
231023 WSU Vanc UCB2.md,197,Valid
221005 Clackamas ESD - Spring DTP inst1.md,196,Valid
220713 EOU Loso Hall - Dante.md,195,Valid
220927 MealsOnWheels - inst tp.md,195,Valid
230119 OSU Gymnast - TP audio2.md,194,Valid
220328 Salem Library - Auditorium1.md,193,Valid
240229 North Eugene HS cut cable.md,193,Valid
230314 Gladstone CC BMD1.md,191,Valid
220801 Clackamas ESD - MtHope USB2 Install.md,190,Valid
230717 Gartner 920 Fremont Barco.md,190,Valid
220817 Vanc Water Edu - Projector2.md,189,Valid
230105 OSU Gymnast - TP audio.md,188,Valid
220627 DLR - conf rm audio 8.md,188,Valid
230510 Abcam Eug - Cafe RMC5.md,187,Valid
220720 DLR - conf rm audio 9.md,186,Valid
220803 Mentor - A Commons - Weight rm display2.md,186,Valid
231026 Gartner Cafe VTC & Spkr2.md,185,Valid
221011 Salem Library - Anderson B Lectern.md,185,Valid
220803 Mentor - D - Signage.md,185,Valid
230118 Abcam Eug1 - Cafe mics.md,184,Valid
230907 UofO Knight - rm106 cam ctl2.md,184,Valid
230221 Sato Elem - Prjctr Feb '23.md,184,Valid
220712 EOU Loso Hall - Back Stage Speaker.md,182,Valid
"230509 Abcam Eug - Cafe cam, Vaddio.md",181,Valid
240126 UofO Knight - rm106 Mics quiet.md,181,Valid
220622 AHS - 508 Zoom TPanel3.md,181,Valid
220217 Columbia Spo - Bugaboo2.md,181,Valid
240126 UofO Knight - rm108 USB Cam on Mac.md,180,Valid
220907 Standard Ins - Sig TP (ps).md,179,Valid
230608 PPS 74th St ALS 4.md,178,Valid
220118 UofO Knight - 3rd FL TX.md,177,Valid
240319 Synopsys Disp#2 Replace1.md,176,Valid
220120 MAPS Haw - blurry cam.md,176,Valid
230526 HillsbLib - Brookwood2 Community proj turns off.md,176,Valid
221215 Mountainside HS - Gym mics.md,176,Valid
230720 ThermoFisher - bldg J rm B AirMedia replace.md,175,Valid
231005 Gartner phones rm 931.md,175,Valid
230104 Juniper Apts - Projector Screen.md,173,Valid
230602 UofO Knight - Seminar Vid flicker.md,173,Valid
220722 Mentor - D1115 Smith Rock3.md,173,Valid
230808 DLR - Atrium labels2.md,172,Valid
220315 Franklin HS Gym HDMI.md,172,Valid
220225 MAPS Haw - blurry cam2.md,171,Valid
230220 Clackamas ESD - MtHope DSP levels2 copy.md,170,Valid
220810 Oregon Treasury - Leak.md,170,Valid
230525 Verizon Moda x1.md,169,Valid
230213 Abcam Eug5 - 102-3 disp off.md,169,Valid
220118 UofO Knight - rm106 HDMI.md,169,Valid
220831 OHSU Hillsboro - Vortex.md,167,Valid
220623 Clackamas ESD - HDMI MtHope.md,166,Valid
230526 HillsbLib - Brookwood1 Board rm no proj.md,166,Valid
221216 KPMG Pdx 3714 - Audio2.md,166,Valid
230110 Vanc ESD - HDMI xmtr.md,165,Valid
220725 Salem Library - PA Vocia settings3.md,165,Valid
230531 Abcam Eug - HDMI Ball2.md,165,Valid
220211 DLR - conf rm audio 1.md,164,Valid
230109 Mentor - D2040 TP.md,162,Valid
220420 Salem Library - Sys Survey.md,161,Valid
230516 Abcam Eug - Cafe tp PTZ control.md,161,Valid
230421 DLR - Atrium mics.md,161,Valid
220909 DLR - front conf rm cam.md,161,Valid
230223 UofO Knight - rm314 logins.md,161,Valid
230309 Clackamas ESD - MtHope DSP levels3.md,159,Valid
231127 Synopsys vtc audio5.md,159,Valid
230308 Abcam Eug - Cafe tp4.md,159,Valid
230725 DLR - Atrium DSP 1.md,159,Valid
230130 Clackamas ESD - MtHope DSP levels.md,158,Valid
231127 Synopsys Display #2.md,158,Valid
230215 UofO Mariota Center - M63 office vid2.md,158,Valid
230307 UofO Mariota Center - 177.md,158,Valid
220503 Wells - AMX goo2.md,157,Valid
230801 ColumBank Fox - Community rm.md,157,Valid
221201 ColumBank Fox - Community rm.md,157,Valid
230228 Mentor - C2040-2.md,156,Valid
230302 Sato Elem - Cafe mics.md,155,Valid
221111 Pape Eugene - rm 103 Planar ends SMason.md,154,Valid
221028 Clackamas ESD - SpringEra TPanel.md,154,Valid
220623 Clackamas ESD - HDMI Spring.md,154,Valid
220218 MAPS 221 - display band.md,153,Valid
230525 Verizon Moda x2.md,151,Valid
221025 Moda Verizon - QSFP.md,151,Valid
220920 DWFritz - 1608 inst.md,150,Valid
230211 ColumBank Fox - Community rm3.md,150,Valid
220308 UWSOM SLU Brotman CODEC & camera.md,150,Valid
240111 DLR - Atrium labels5.md,150,Valid
231205 Workday 329 vtc audio3.md,150,Valid
221006 CMHosp Astoria Seaside HDMI.md,149,Valid
230517 Abcam Eug - Cafe tp PTZ control2.md,149,Valid
220722 Mentor - A Commons - Weight rm Display.md,149,Valid
230427 Abcam Eug - HDMI Sheehan.md,147,Valid
230508 Abcam Eug - HDMI Sheehan.md,147,Valid
230323 Abcam Eug - HDMI Mito.md,147,Valid
220505 Mentor - D1115 Smith Rock3.md,147,Valid
220428 Salem Library - Auditorium3.md,146,Valid
230323 Abcam Eug - HDMI Ball.md,146,Valid
221213 Mentor - D1405 Redmond - Fan.md,146,Valid
231005 Gartner phones rm 926.md,145,Valid
230131 Standard Ins - Flex projector3.md,145,Valid
230509 Abcam Eug - Cafe UC-Engine2.md,145,Valid
230523 JesuitHS Cafe remote btns.md,145,Valid
220502 Mentor - D1115 Smith Rock1 (unused).md,143,Valid
221010 Clackamas ESD - Spring DTP post-inst.md,142,Valid
230111 Standard Ins - Flex projector2.md,142,Valid
221019 Mentor - D - Brightsign reset.md,141,Valid
230403 DLR - conf rm audio 10.md,140,Valid
220518 VGarciaMemMedical - tpanel.md,139,Valid
220802 Mentor - D1346 Tawfik - TP1.md,139,Valid
231208 HillsbLib - Brookwood1 BoardRm3 reinstall.md,138,Valid
220722 Mentor - E2020 Redwood cables.md,137,Valid
221228 Vanc CityCounChambers - mics.md,136,Valid
220921 Mentor - E2022 Sequoia.md,136,Valid
230425 Abcam Eug - Cafe RMC2.md,135,Valid
220321 Wells - AMX goo1.md,134,Valid
231129 DLR - Atrium labels4.md,133,Valid
220105 UofO Knight - tpanel.md,133,Valid
230622b iQ CU Vanc - Cam.md,132,Valid
220420 Garmin Siletz - USB.md,131,Valid
220912 Vanc Water Edu - Reinst Extron.md,130,Valid
230517 Abcam Eug - Cafe spkr zones.md,129,Valid
220808 Mentor - C2042 McKenzie.md,129,Valid
220818 Mentor - D1346 Tawfik - TP2.md,128,Valid
221102 Standard Ins - Flex projector.md,127,Valid
220908 Mentor - E2022 Sequoia.md,127,Valid
220908 Mentor - E2020 Redwood.md,126,Valid
220817 Mentor - E2042 Noble2.md,125,Valid
230315 Acumed Hillsb - iPad.md,123,Valid
230428 UofO Knight - rm108+.md,123,Valid
220803 Mentor - E3020 Azalea.md,119,Valid
230210 Stoller Vinyards - VidWall split bad2.md,117,Valid
240122 WWalker Elem - Gym pwr amp2.md,117,Valid
221028 Clackamas ESD - SpringEra Audio Levels.md,116,Valid
230614 Abcam Eug - HDMI Sheehan2.md,116,Valid
220505 Mentor - D3040 Eagle Creek1.md,116,Valid
231009 Abcam Eug - HDMI Gene2.md,115,Valid
231130 Abcam Eug - HDMI Crouch2.md,115,Valid
230418 Abcam Eug - Cafe RMC.md,115,Valid
220701 Astoria Middle school - screen2.md,115,Valid
230623 iQ CU Vanc - HDMI.md,114,Valid
221102 Standard Ins - Sig TP (ps)2.md,110,Valid
230126 Hillsboro Lib1 - HDMI2.md,110,Valid
230323 Abcam Eug - HDMI Crouch.md,109,Valid
230323 Abcam Eug - HDMI Gene.md,109,Valid
220818 Mentor - A Commons - Weight rm display3.md,107,Valid
220720 DLR - front conf rm cam.md,106,Valid
230327 Jesuit HS Hollman Cafe2.md,104,Valid
220128 Pacific Crest school - Projector 3 final.md,104,Valid
220921 Mentor - D1041 Sunriver.md,103,Valid
220908 Mentor - E0410 Rogue.md,103,Valid
220817 Mentor - E3042 Ponderosa.md,102,Valid
220808 Mentor - E2020 Redwood.md,101,Valid
220921 DLR - front conf rm cam.md,100,Valid
221026 Mentor - D1237 Steven Swirling fan install.md,100,Valid
220830 Mentor - D1348 Madras.md,100,Valid
220908 Mentor - E4022 Foxtail.md,97,Valid
221006 Mentor - D1115 Smith Rock4 install.md,96,Valid
"220830 Mentor - D2237, display.md",94,Valid
220928 Mentor - C1350 Bristlecone.md,92,Valid
230320 UofO Knight - rm314 logins2.md,88,Valid
230512 UofO Knight - rm261J logins (Merc).md,88,Valid
220420 MAPS Hawth ZR - Cam Screw.md,77,Valid
